,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal
1138,1138,2720128311.0,551,68,53.0,613,55.1,80.5,71,SecondHalf,Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,232278.0,57.1,67.5,,,,,,,,,,
1168,1168,2720130031.0,569,70,27.0,613,94.3,77.5,73,SecondHalf,Pass,Unsuccessful,"['Length', 'StandingSave', 'LeftFoot', 'Zone', 'Angle', 'PassEndY', 'PassEndX', 'Cross']","[91, 138, 126, 36, 38, 217, 218]",True,232278.0,95.8,55.5,,,,,,,,,,
1187,1187,2720133317.0,575,73,12.0,613,70.4,84.6,76,SecondHalf,Foul,Unsuccessful,"['Foul', 'OppositeRelatedEvent', 'Offensive', 'Zone', 'StandingSave']",[64],False,232278.0,,,,,,,,,,,,
1193,1193,2720137527.0,579,76,35.0,613,13.2,72.1,79,SecondHalf,Clearance,Successful,"['Head', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'Length']","[91, 94, 95, 57, 215]",True,232278.0,17.6,39.1,,,,,,,,,,
1199,1199,2720137865.0,584,76,49.0,613,33.6,95.0,79,SecondHalf,Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Length', 'Angle', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,232278.0,28.6,88.8,,,,,,,,,,
1205,1205,2720138295.0,590,77,11.0,613,75.0,100.0,80,SecondHalf,Pass,Successful,"['Zone', 'PassEndX', 'Length', 'Angle', 'ThrowIn', 'PassEndY']","[91, 212, 35, 38, 216]",True,232278.0,61.4,88.3,,,,,,,,,,
1209,1209,2720138685.0,594,77,31.0,613,91.8,56.7,80,SecondHalf,MissedShots,Successful,"['FirstTouch', 'LeftFoot', 'BoxCentre', 'StandingSave', 'RelatedEventId', 'BigChance', 'GoalMouthZ', 'BlockedX', 'GoalMouthY', 'BlockedY', 'RegularPlay', 'Assisted', 'IntentionalAssist', 'MissRight', 'Zone', 'BigChanceCreated', 'KeyPass']","[91, 123, 7, 90, 10, 201, 203, 1, 3, 13, 40, 46]",True,232278.0,,,593.0,301869.0,94.5,40.6,11.1,29.4,True,,,
1211,1211,2720138815.0,597,77,40.0,613,0.0,0.0,80,SecondHalf,Card,Successful,['Yellow'],[65],False,232278.0,,,,,,,,,,"{'value': 31, 'displayName': 'Yellow'}",,
1215,1215,2720139931.0,600,78,42.0,613,39.8,86.2,81,SecondHalf,Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,232278.0,,,,,,,,,,,,
1217,1217,2720140005.0,601,78,42.0,613,40.4,82.9,81,SecondHalf,Pass,Successful,"['HeadPass', 'PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,232278.0,56.9,74.4,,,,,,,,,,
1223,1223,2720140181.0,606,78,50.0,613,70.3,97.9,81,SecondHalf,BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,232278.0,,,,,,,,,,,,
1283,1283,2720145275.0,638,83,23.0,613,60.0,91.4,86,SecondHalf,Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,232278.0,63.3,93.5,,,,,,,,,,
1299,1299,2720146009.0,652,84,5.0,613,83.2,76.1,87,SecondHalf,Aerial,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[198, 199]",False,232278.0,,,,,,,,,,,,
