,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal
1069,1069,2727215473.0,505,58,47.0,613,67.6,95.0,60,SecondHalf,BlockedPass,Successful,"['Zone', 'StandingSave', 'Defensive', 'OppositeRelatedEvent']","[91, 60]",True,232278.0,,,,,,,,,,,,
1072,1072,2727215657.0,507,58,56.0,613,70.6,86.4,60,SecondHalf,Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Offensive']","[91, 143]",True,232278.0,,,,,,,,,,,,
1103,1103,2727217981.0,525,60,45.0,613,33.9,92.7,62,SecondHalf,Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,232278.0,24.3,93.2,,,,,,,,,,
1116,1116,2727221707.0,538,61,11.0,613,81.5,80.1,63,SecondHalf,BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,232278.0,,,,,,,,,,,,
1133,1133,2727224537.0,546,66,12.0,613,25.2,74.8,68,SecondHalf,Pass,Successful,"['Zone', 'HeadPass', 'Angle', 'PassEndX', 'PassEndY', 'Length']","[91, 117, 30, 139, 36, 38, 216, 218]",True,232278.0,34.5,70.8,,,,,,,,,,
1154,1154,2727225831.0,561,67,19.0,613,85.4,100.0,69,SecondHalf,Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone', 'ThrowIn']","[91, 212, 36, 38, 217]",True,232278.0,92.9,88.7,,,,,,,,,,
1156,1156,2727225973.0,563,67,24.0,613,85.4,91.1,69,SecondHalf,Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,232278.0,91.0,92.6,,,,,,,,,,
1165,1165,2727227803.0,567,68,57.0,613,53.1,90.4,70,SecondHalf,Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']",[55],False,232278.0,,,,,,,,,,,,
1198,1198,2727238353.0,588,76,50.0,613,92.2,77.6,78,SecondHalf,BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,232278.0,,,,,,,,,,,,
1209,1209,2727240007.0,591,78,11.0,613,23.2,100.0,80,SecondHalf,Pass,Successful,"['Zone', 'ThrowIn', 'PassEndX', 'PassEndY', 'Length', 'Angle', 'Longball']","[91, 212, 36, 38, 216]",True,232278.0,44.0,93.3,,,,,,,,,,
1250,1250,2727242171.0,608,79,52.0,613,36.9,95.4,81,SecondHalf,Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'LayOff', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,232278.0,28.0,91.4,,,,,,,,,,
1266,1266,2727242959.0,619,80,24.0,613,60.0,96.7,82,SecondHalf,TakeOn,Unsuccessful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Offensive']","[91, 53]",True,232278.0,,,,,,,,,,,,
1277,1277,2727244467.0,623,81,31.0,613,71.2,94.0,83,SecondHalf,Tackle,Unsuccessful,"['StandingSave', 'Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 142]",True,232278.0,,,,,,,,,,,,
1295,1295,2727245317.0,633,82,8.0,613,63.0,92.9,84,SecondHalf,Pass,Successful,"['PassEndX', 'Angle', 'Length', 'PassEndY', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,69.9,80.9,,,,,,,,,,
1305,1305,2727246473.0,639,82,54.0,613,31.4,47.4,84,SecondHalf,Foul,Successful,"['Obstruction', 'Zone', 'Defensive', 'OppositeRelatedEvent', 'IndirectFreekickTaken']","[91, 63]",True,232278.0,,,,,,,,,,,,
1324,1324,2727250465.0,653,85,53.0,613,56.8,94.1,87,SecondHalf,Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,232278.0,66.2,78.1,,,,,,,,,,
1387,1387,2727255407.0,687,89,27.0,613,4.9,93.3,91,SecondHalf,Tackle,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 143]",True,232278.0,,,,,,,,,,,,
1388,1388,2727255419.0,688,89,28.0,613,4.8,92.7,91,SecondHalf,CornerAwarded,Unsuccessful,"['Zone', 'MissLeft', 'OppositeRelatedEvent']",[122],False,232278.0,,,,,,,,,,,,
1450,1450,2727259651.0,728,93,23.0,613,75.0,82.1,95,SecondHalf,Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,78.2,77.3,,,,,,,,,,
1465,1465,2727260365.0,735,94,7.0,613,21.8,91.1,96,SecondHalf,Foul,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'StandingSave', 'Zone', 'Foul']",[64],False,232278.0,,,,,,,,,,,,
1479,1479,2727262119.0,748,96,3.0,613,98.7,87.2,98,SecondHalf,Pass,Unsuccessful,"['Chipped', 'PassEndY', 'Length', 'Longball', 'PassEndX', 'StandingSave', 'LeftFoot', 'Zone', 'Angle', 'Cross']","[91, 138, 124, 126, 35, 38, 217, 218]",True,232278.0,76.2,47.9,,,,,,,,,,
1487,1487,2727262247.0,753,96,13.0,613,79.9,75.0,98,SecondHalf,Pass,Unsuccessful,"['Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 29, 36, 38, 217, 218]",True,232278.0,85.0,64.6,,,,,,,,,,
1509,1509,2727263227.0,764,97,17.0,613,24.8,94.2,99,SecondHalf,Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,232278.0,18.7,72.4,,,,,,,,,,
1530,1530,2727264491.0,783,99,0.0,613,23.9,91.7,101,SecondHalf,Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,232278.0,,,,,,,,,,,,
1533,1533,2727264597.0,785,99,13.0,613,8.4,88.3,101,SecondHalf,Clearance,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'BlockedCross']","[91, 59]",True,232278.0,,,,,,,,,,,,
1046,1046,2729807995.0,648,67,24.0,613,0.0,0.0,70,SecondHalf,SubstitutionOn,Successful,"['JerseyNumber', 'PlayerPosition', 'FormationSlot', 'RelatedEventId']",[213],False,232278.0,,,647.0,301869.0,,,,,,,,
1065,1065,2729808927.0,663,68,46.0,613,73.4,91.9,71,SecondHalf,Pass,Unsuccessful,"['Length', 'Chipped', 'PassEndY', 'Zone', 'Angle', 'LeftFoot', 'StandingSave', 'PassEndX', 'Cross']","[91, 138, 124, 126, 35, 38, 217, 218]",True,232278.0,72.5,88.3,,,,,,,,,,
1070,1070,2729808987.0,665,68,52.0,613,66.3,77.4,71,SecondHalf,Tackle,Unsuccessful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Defensive']","[91, 142]",True,232278.0,,,,,,,,,,,,
1078,1078,2729809105.0,668,69,7.0,613,18.8,66.4,72,SecondHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
1079,1079,2729809123.0,669,69,7.0,613,19.3,67.3,72,SecondHalf,Pass,Successful,"['Zone', 'PassEndY', 'Length', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,232278.0,27.1,53.1,,,,,,,,,,
1111,1111,2729810619.0,691,71,4.0,613,60.7,95.9,74,SecondHalf,Pass,Successful,"['Angle', 'Zone', 'Length', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,232278.0,53.6,89.0,,,,,,,,,,
1120,1120,2729810855.0,696,71,24.0,613,84.6,100.0,74,SecondHalf,Pass,Successful,"['Angle', 'PassEndY', 'ThrowIn', 'PassEndX', 'Zone', 'Length']","[91, 212, 35, 38, 217]",True,232278.0,72.2,96.8,,,,,,,,,,
1184,1184,2729813815.0,724,75,25.0,613,52.2,90.7,78,SecondHalf,Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[198, 199]",False,232278.0,,,,,,,,,,,,
1188,1188,2729813869.0,725,75,29.0,613,42.2,95.4,78,SecondHalf,Tackle,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 143]",True,232278.0,,,,,,,,,,,,
1199,1199,2729814721.0,733,76,36.0,613,45.3,93.3,79,SecondHalf,Foul,Unsuccessful,"['Foul', 'OppositeRelatedEvent', 'Zone', 'StandingSave', 'Defensive']",[64],False,232278.0,,,,,,,,,,,,
1202,1202,2729815203.0,735,77,22.0,613,11.1,85.0,80,SecondHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
1203,1203,2729815241.0,736,77,22.0,613,11.1,85.1,80,SecondHalf,Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,232278.0,26.7,95.1,,,,,,,,,,
1205,1205,2729815297.0,738,77,27.0,613,10.1,95.3,80,SecondHalf,Pass,Unsuccessful,"['Zone', 'Length', 'PassEndX', 'Longball', 'Angle', 'StandingSave', 'PassEndY']","[91, 118, 120, 128, 36, 38, 216, 218]",True,232278.0,38.8,91.8,,,,,,,,,,
1223,1223,2729816371.0,751,78,57.0,613,75.3,95.9,81,SecondHalf,Pass,Successful,"['Angle', 'Zone', 'Length', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,232278.0,66.3,86.6,,,,,,,,,,
1225,1225,2729816417.0,753,79,4.0,613,77.1,93.2,82,SecondHalf,Pass,Successful,"['PassEndX', 'Zone', 'Length', 'Angle', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 35, 37, 216, 218]",True,232278.0,65.9,94.2,,,,,,,,,,
1229,1229,2729816561.0,757,79,14.0,613,70.7,92.7,82,SecondHalf,Pass,Unsuccessful,"['Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Length']","[91, 120, 29, 36, 38, 217, 218]",True,232278.0,76.4,69.3,,,,,,,,,,
1235,1235,2729816661.0,761,79,22.0,613,65.7,93.5,82,SecondHalf,Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,232278.0,72.9,95.6,,,,,,,,,,
1237,1237,2729816699.0,763,79,26.0,613,81.5,89.7,82,SecondHalf,BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,232278.0,,,,,,,,,,,,
1241,1241,2729906497.0,903,79,28.0,613,85.7,84.4,82,SecondHalf,Challenge,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']",[55],False,232278.0,,,,,,,,,,,,
1306,1306,2729819037.0,801,82,58.0,613,42.5,95.1,85,SecondHalf,BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,232278.0,,,,,,,,,,,,
1308,1308,2729819227.0,803,83,8.0,613,66.7,100.0,86,SecondHalf,Pass,Successful,"['PassEndY', 'ThrowIn', 'Length', 'Zone', 'Longball', 'PassEndX', 'Angle']","[91, 212, 35, 38, 216]",True,232278.0,39.3,93.5,,,,,,,,,,
1315,1315,2729819505.0,810,83,32.0,613,71.3,80.8,86,SecondHalf,Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'HeadPass', 'Length', 'Zone', 'PassEndX', 'Angle']","[91, 120, 29, 139, 35, 38, 216, 218]",True,232278.0,63.6,66.3,,,,,,,,,,
1330,1330,2729820313.0,819,84,39.0,613,72.0,81.1,87,SecondHalf,Pass,Successful,"['Length', 'PassEndY', 'Zone', 'Angle', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,232278.0,77.8,95.4,,,,,,,,,,
1364,1364,2729822591.0,841,87,54.0,613,87.6,100.0,90,SecondHalf,Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle', 'ThrowIn']","[91, 212, 35, 38, 217]",True,232278.0,73.7,93.6,,,,,,,,,,
1368,1368,2729822661.0,843,87,59.0,613,83.8,89.4,90,SecondHalf,Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'Longball', 'Chipped', 'LeftFoot', 'Angle', 'Zone', 'Cross', 'PassEndY']","[91, 119, 138, 124, 125, 36, 38, 217, 218]",True,232278.0,89.4,12.5,,,,,,,,,,
1411,1411,2729824593.0,872,90,54.0,613,44.4,98.2,93,SecondHalf,Pass,Successful,"['StandingSave', 'Length', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,232278.0,50.1,89.7,,,,,,,,,,
